ident,type,name,latitude_deg,longitude_deg,continent,iso_region,municipality,iata_code,airport_ref,airport_ident,lighted,closed,elevacion,longitud_pista,ancho_pista
03N,small_airport,Utirik Airport,11.222000000000001,169.852005,OC,MH-UTI,Utirik Island,UTK,6733.0,03OH,0.0,0.0,13.12,6889.76,196.85
AAD,small_airport,Adado Airport,6.095802,46.6375,AF,SO-GA,Adado,AAD,16137.0,AK45,0.0,0.0,3284.12,10236.22,492.13
ABP,small_airport,Atkamba Airport,-6.06462,141.095173,OC,PG-WPD,Atkamba Mission,ABP,16141.0,AK49,0.0,0.0,492.13,7217.85,147.64
ABW,closed,Abau Airport,-10.1956,148.7389,OC,PG-CPM,Abau,ABW,16142.0,AK5,0.0,0.0,32.81,11482.94,1640.42
ACFC,small_airport,Woodland Airpark (duplicate),15.253888,120.677222,AS,PH-PAM,Magalang,WAP,16143.0,AK50,0.0,0.0,328.08,6561.68,85.3
AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,EU,AD-08,Escaldes-Engordany,ALV,16146.0,AK53,0.0,0.0,11318.9,5905.51,246.06
ADC,small_airport,Andakombe Airport,-7.13722222222,145.744722222,OC,PG-EHG,Andekombe,ADC,16147.0,AK54,0.0,0.0,11811.02,2952.76,262.47
ADV,small_airport,El Daein Airport,11.4023,26.1186,AF,SD-DE,El Daein,ADV,16149.0,AK56,0.0,0.0,5118.11,6561.68,6561.68
AE-0006,seaplane_base,Jebel Ali Seaplane Base,24.988967000000002,55.023796,AS,AE-DU,Jebel Ali,DJH,16155.0,AK62,0.0,0.0,0.0,32808.4,3280.84
AEI,heliport,Algeciras Heliport,36.128820000000005,-5.441079,EU,ES-CA,Algeciras,AEI,16243.0,AL51,0.0,0.0,321.52,6561.68,328.08
AEK,small_airport,Aseki Airport,-7.350804855519999,146.19386673,OC,PG-MPL,Aseki,AEK,16244.0,AL52,0.0,0.0,13471.13,196.85,196.85
AEQ,small_airport,Ar Horqin Airport,43.87042,120.15958,AS,CN-15,Chifeng,AEQ,16245.0,AL53,0.0,0.0,4379.92,131.23,131.23
AF-0005,medium_airport,Khost International Airport,33.284605,69.80734,AS,AF-KHO,Khost,KHT,16249.0,AL59,0.0,0.0,13792.65,196.85,196.85
AF10,small_airport,Orūzgān Airport,32.9029998779,66.630897522,AS,AF-ORU,Orūzgān,URZ,16267.0,AL78,0.0,0.0,22063.65,7217.85,459.32
AF11,small_airport,Salerno Airport,33.3638,69.9561,AS,AF-KHO,Khost,OLR,16268.0,AL79,0.0,0.0,12401.58,8202.1,656.17
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.64399999999999,AS,LK-5,Ampara,AFK,16275.0,AL86,0.0,0.0,311.68,98.43,98.43
AGAF,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,OC,SB-ML,Bila,AFT,16278.0,AL89,0.0,0.0,75.46,7381.89,328.08
AGAR,small_airport,Ulawa Airport,-9.86054358262,161.979546547,OC,SB-MK,Arona,RNA,16279.0,AL90,0.0,0.0,131.23,164.04,164.04
AGG,small_airport,Angoram Airport,-4.05583333333,144.073888889,OC,PG-ESW,Angoram,AGG,16283.0,AL94,0.0,0.0,246.06,8530.18,229.66
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,OC,SB-ML,Auki,AKS,16284.0,AL95,0.0,0.0,16.4,164.04,164.04
