ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_region,municipality,iata_code
03N,small_airport,Utirik Airport,11.222000000000001,169.852005,4.0,OC,MH-UTI,Utirik Island,UTK
AAD,small_airport,Adado Airport,6.095802,46.6375,1001.0,AF,SO-GA,Adado,AAD
ABP,small_airport,Atkamba Airport,-6.06462,141.095173,150.0,OC,PG-WPD,Atkamba Mission,ABP
ABW,closed,Abau Airport,-10.1956,148.7389,10.0,OC,PG-CPM,Abau,ABW
ACFC,small_airport,Woodland Airpark (duplicate),15.253888,120.677222,100.0,AS,PH-PAM,Magalang,WAP
AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,3450.0,EU,AD-08,Escaldes-Engordany,ALV
ADC,small_airport,Andakombe Airport,-7.13722222222,145.744722222,3600.0,OC,PG-EHG,Andekombe,ADC
ADV,small_airport,El Daein Airport,11.4023,26.1186,1560.0,AF,SD-DE,El Daein,ADV
AE-0006,seaplane_base,Jebel Ali Seaplane Base,24.988967000000002,55.023796,0.0,AS,AE-DU,Jebel Ali,DJH
AEI,heliport,Algeciras Heliport,36.128820000000005,-5.441079,98.0,EU,ES-CA,Algeciras,AEI
AEK,small_airport,Aseki Airport,-7.350804855519999,146.19386673,4106.0,OC,PG-MPL,Aseki,AEK
AEQ,small_airport,Ar Horqin Airport,43.87042,120.15958,1335.0,AS,CN-15,Chifeng,AEQ
AF-0005,medium_airport,Khost International Airport,33.284605,69.80734,4204.0,AS,AF-KHO,Khost,KHT
AF10,small_airport,Orūzgān Airport,32.9029998779,66.630897522,6725.0,AS,AF-ORU,Orūzgān,URZ
AF11,small_airport,Salerno Airport,33.3638,69.9561,3780.0,AS,AF-KHO,Khost,OLR
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.64399999999999,95.0,AS,LK-5,Ampara,AFK
AGAF,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,23.0,OC,SB-ML,Bila,AFT
AGAR,small_airport,Ulawa Airport,-9.86054358262,161.979546547,40.0,OC,SB-MK,Arona,RNA
AGG,small_airport,Angoram Airport,-4.05583333333,144.073888889,75.0,OC,PG-ESW,Angoram,AGG
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5.0,OC,SB-ML,Auki,AKS
AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,60.0,OC,SB-RB,Anua,BNY
AGGE,small_airport,Ballalae Airport,-6.9907449999999995,155.88665600000002,5.0,OC,SB-WE,Ballalae,BAS
AGGH,large_airport,Honiara International Airport,-9.427999999999999,160.054993,28.0,OC,SB-GU,Honiara,HIR
AGGK,small_airport,Ngorangora Airport,-10.4497003555,161.897994995,54.0,OC,SB-MK,Kirakira,IRA
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,18.0,OC,SB-TE,Santa Cruz/Graciosa Bay/Luova,SCZ
AGGM,medium_airport,Munda Airport,-8.32797,157.263,10.0,OC,SB-WE,Munda,MUA
AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13.0,OC,SB-WE,Gizo,GZO
AGGQ,closed,Ontong Java Atoll Airstrip,-5.515,159.527778,10.0,OC,SB-ML,Ontong Java Atoll,OTV
AGGT,small_airport,Santa Ana Airport,-10.847994,162.45410800000002,3.0,OC,SB-MK,Santa Ana Island,NNB
AGGY,small_airport,Yandina Airport,-9.092816000000001,159.21841,60.0,OC,SB-CE,Yandina,XYA
AGK,small_airport,Kagua Airport,-6.396388888890001,143.853611111,5350.0,OC,PG-SHM,Kagua,AGK
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30.0,OC,SB-CH,Kagau Island,KGE
AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,32.0,OC,SB-WE,Kolombangara Island,KUE
AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,52.0,OC,SB-ML,Kwailabesi,KWS
AGNA,small_airport,Nana Airport,-10.6758,162.2049,60.0,OC,SB-MK,Star Harbor,NAZ
AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.20283600000002,70.0,OC,SB-WE,Gatokae,GTA
AGTI,heliport,Tulaghi Heliport,-9.107999999999999,160.149166667,3.0,OC,SB-CE,Tulaghi Island,TLG
AGY,small_airport,Argyle Downs Airport,-16.514,128.9245,407.0,OC,AU-WA,Argyle Downs,AGY
AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224000000001,11600.0,AS,CN-51,Aba,AHJ
AHY,small_airport,Ambatolhy Airport,-20.015833333299998,45.535,340.0,AF,MG-U,Ambatolahy,AHY
AIE,small_airport,Aiome Airport,-5.145699978000001,144.7307003,350.0,OC,PG-MPM,Aiome,AIE
AIH,small_airport,Aiambak Airport,-7.3427777777799985,141.2675,90.0,OC,PG-WPD,Aiambak,AIH
AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,16.0,OC,MH-ALL,Bigatyelang Island,AIC
AKM,small_airport,Zakuoma Airport,10.8902777778,19.8172222222,1370.0,AF,TD-SA,ZaKouma,AKM
AME,small_airport,Alto Molocue Airport,-15.6102777778,37.681388888899995,1950.0,AF,MZ-Q,Alto Molocue,AME
AMG,closed,Amboin Airstrip,-4.605642,143.485308,87.0,OC,PG-ESW,Amboin,AMG
AMU,small_airport,Amanab Airport,-3.5860000000000003,141.21433333299998,1307.0,OC,PG-SAN,Amanab,AMU
ANH,closed,Anuha Island Resort Airport,-9.00138888889,160.225,22.0,OC,SB-CE,Anhua Island,ANH
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR-14,Yaren District,INU
ANZ,small_airport,Angus Downs Airport,-25.0325,132.2748,1724.0,OC,AU-NT,Angus Downs Station,ANZ
AO-0001,small_airport,Catoca Airport,-9.430985,20.311478,3498.0,AF,AO-LSU,Saurimo,CTV
AO-CNZ,small_airport,Cangamba Airport,-13.7106,19.861099,3894.0,AF,AO-MOX,Cangamba,CNZ
AO-DRC,small_airport,Dirico Airport,-17.981924057006836,20.7680606842041,3504.0,AF,AO-CCU,Dirico,DRC
AO-GGC,small_airport,Lumbala Airport,-12.6398773193,22.586820602399996,3510.0,AF,AO-MOX,Lumbala,GGC
AO-JMB,small_airport,Jamba Airport,-14.698192596435547,16.070148468017578,4912.0,AF,AO-HUA,Jamba,JMB
AO-KNP,small_airport,Capanda Airport,-9.76937007904,15.4553194046,3366.0,AF,AO-MAL,Capanda,KNP
AO-NDF,small_airport,N'dalatando Airport,-9.280378,14.982432000000001,2684.0,AF,AO-CNO,N'dalatando,NDF
AOA,closed,Aroa Airport,-9.0254,146.8,20.0,OC,PG-CPM,Agevairu,AOA
AOD,small_airport,Abou-Deïa Airport,11.4773,19.2874,1592.0,AF,TD-SA,Abou-Deïa,AOD
APR,small_airport,April River Airport,-4.67666666667,142.540138889,220.0,OC,PG-ESW,April River,APR
AQ-0002,small_airport,Troll Airfield,-71.95714,2.45257,4167.0,AN,AQ-U-A,Troll Station,QET
AR-0005,small_airport,Bragado Airport,-35.145811,-60.480293999999994,196.0,SA,AR-B,Bragado,QRF
AR-0007,small_airport,Caleta Olivia Airport,-46.37428,-67.59409000000001,37.0,SA,AR-Z,Caleta Olivia,CVI
AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,318.0,SA,AR-H,Charata,CNT
AR-0010,small_airport,General Villegas Airport,-35.0,-63.0,383.0,SA,AR-B,General Villegas,VGS
AR-0011,small_airport,Los Menucos Airport,-40.817699,-68.074699,2571.0,SA,AR-R,Los Menucos,LMD
AR-0015,closed,Saenz Peña Airport,-26.81579971313477,-60.44829940795898,20.0,SA,AR-H,Presidencia Roque Sáenz Peña,SZQ
AR-0017,small_airport,Valcheta Airport,-40.7000007629,-66.1500015259,629.0,SA,AR-R,Valcheta,VCF
AR-0346,small_airport,Sunchales Aeroclub Airport,-30.9575,-61.5283,299.0,SA,AR-S,Sunchales,NCJ
AR-0390,small_airport,Carmen de Patagones Airport,-40.7781,-62.9803,131.0,SA,AR-B,Carmen de Patagones,CPG
AR-0462,small_airport,Termal Airport,-26.753611,-60.492222,308.0,SA,AR-H,Presidencia Roque Sáenz Peña,PRQ
AR-0494,small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841,877.0,SA,AR-U,Sarmiento,OLN
ATN,small_airport,Namatanai Airport,-3.6695,152.438,150.0,OC,PG-NIK,Namatanai,ATN
ATP,small_airport,Aitape Airport,-3.14361111111,142.346805556,10.0,OC,PG-SAN,Aitape,ATP
AU-0081,small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,20.0,OC,AU-QLD,Lady Elliot Island,LYT
AU-BYX,small_airport,Baniyala Airport,-13.19810009,136.227005005,20.0,OC,AU-NT,Baniyala,BYX
AU-OKB,small_airport,Orchid Beach Airport,-24.959400177002,153.31500244141,71.0,OC,AU-QLD,Orchid Beach,OKB
AU-PEP,small_airport,Peppimenarti Airport,-14.144200325,130.09100341799999,83.0,OC,AU-NT,Peppimenarti,PEP
AU-TPR,small_airport,Tom Price Airport,-22.746000289900003,117.869003296,2300.0,OC,AU-WA,Tom Price,TPR
AUI,small_airport,Aua Island Airport,-1.46055555556,143.064722222,4.0,OC,PG-MRL,Aua Island,AUI
AUJ,small_airport,Ambunti Airport,-4.21566666667,142.823166667,50.0,OC,PG-ESW,Ambunti,AUJ
AUV,small_airport,Aumo Airport,-5.731111111110001,148.445277778,450.0,OC,PG-WBK,Aumo,AUV
AWE,small_airport,Alowe Airport,-0.545,9.443999999999999,600.0,AF,GA-3,Wonga Wongué Presidential Reserve,AWE
AWR,closed,Awar Airport,-4.124,144.85299999999998,35.0,OC,PG-MPM,Awar,AWR
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858000000001,4560.0,AS,CN-15,Bayanhot,AXF
AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11.0,OC,PG-NSB,Buka Island,BUA
AYBR,small_airport,Biaru Airport,-7.6693,146.7594,4900.0,OC,PG-MPL,Biaru,BRP
AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974.0,OC,PG-CPK,Kundiawa,CMU
AYDK,small_airport,Munduku Airport,-4.6204,143.4516,100.0,OC,PG-ESW,Munduku,MDM
AYDL,small_airport,Kondobol Airport,-8.5336,142.5049,132.0,OC,PG-WPD,Kondobol,KPF
AYDN,small_airport,Dinangat Airport,-6.1546,146.6772,5309.0,OC,PG-MPL,Dinangat,DNU
AYDO,small_airport,Doini Airport,-10.7009,150.7218,31.0,OC,PG-MBA,Castori Islets,DOI
AYDU,medium_airport,Daru Airport,-9.086759567260001,143.207992554,20.0,OC,PG-WPD,Daru,DAU
AYEB,small_airport,Embessa Airport,-9.447000000000001,148.7628,131.0,OC,PG-NPP,Embessa,EMS
AYED,small_airport,Edwaki Airport,-3.883986,141.792234,190.0,OC,PG-SAN,Yellow River Mission,XYR
AYEL,small_airport,Eliptamin Airport,-5.0412,141.6779,4825.0,OC,PG-SAN,Eliptamin,EPT
AYEN,small_airport,Engati Airstrip,-6.9179,146.1053,3715.0,OC,PG-MPL,Engati,EGA
AYEO,small_airport,Emo River Airstrip,-9.1234,148.0415,2240.0,OC,PG-NPP,Emo Mission,EMO
AYER,small_airport,Erume Airport,-8.2538,146.9747,6690.0,OC,PG-CPM,Erume,ERU
AYES,small_airport,Meselia Airport,-6.1364,149.1183,180.0,OC,PG-WBK,Demgulu,MFZ
AYFE,small_airport,Feramin Airport,-5.207999999999999,141.6988,4655.0,OC,PG-SAN,Feramin,FRQ
AYFR,small_airport,Frieda River Airport,-4.610468,141.960138,217.0,OC,PG-ESW,Frieda River,FAQ
AYFU,small_airport,Fuma Airport,-6.3933,142.4408,466.0,OC,PG-WPD,Fuma,FUM
AYGA,medium_airport,Goroka Airport,-6.0816898345900015,145.391998291,5282.0,OC,PG-EHG,Goronka,GKA
AYGF,small_airport,Guari Airport,-8.1286,146.8722,6450.0,OC,PG-CPM,Guari,GUG
AYGG,small_airport,Garasa Airport,-7.980713000000001,147.21346100000002,2539.0,OC,PG-MPL,Au,GRL
AYGN,medium_airport,Gurney Airport,-10.311499595599999,150.333999634,88.0,OC,PG-MBA,Gurney,GUR
AYGP,small_airport,Gusap Airport,-6.053196,145.959047,1504.0,OC,PG-GPK,Gusap,GAP
AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311.0,OC,PG-NPP,Popondetta,PNP
AYGS,small_airport,Gasuke Airport,-6.1028,141.7393,157.0,OC,PG-WPD,Gasuke,GBC
AYHB,small_airport,Habi Airport,-6.32,142.4893,993.0,OC,PG-WPD,Habi,HBD
AYHE,small_airport,Heiweni Airport,-7.4223,146.4276,3480.0,OC,PG-MPL,Heiweni,HNI
AYHH,small_airport,Honinabi Airport,-16.2457,142.1771,452.0,OC,PG-WPD,Honinabi,HNN
AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,66.0,OC,PG-WBK,Hoskins,HKN
AYHO,small_airport,Haivaro Airport,-6.9406,143.059,180.0,OC,PG-GPK,Haivaro,HIT
AYII,small_airport,Imane Airport,-6.7524,146.1072,3860.0,OC,PG-MPL,Imane,IMN
AYIM,small_airport,Kungim Airport,-5.671,141.03,349.0,OC,PG-WPD,Kungim,KGM
AYIO,small_airport,Imonda Airport,-3.3280000000000003,141.1573,990.0,OC,PG-SAN,Imonda,IMD
AYIQ,small_airport,Aropa Airport,-6.305416999999999,155.728139,20.0,OC,PG-NSB,Kieta,KIE
AYIU,small_airport,Ialibu Airport,-6.2782,143.9944,6736.0,OC,PG-SHM,Ialibu,IAL
AYIX,small_airport,Witu Airport,-4.689522,149.440112,25.0,OC,PG-WBK,Garove Island,WIU
AYJO,small_airport,Yongai Airport,-8.5289,147.4603,6500.0,OC,PG-CPM,Yongai,KGH
AYKA,small_airport,Losuia Airport,-8.505820274353027,151.08099365234375,27.0,OC,PG-MBA,Losuia,LSA
AYKG,small_airport,Kopiago Airport,-5.3883,142.4977,4445.0,OC,PG-HE,Kopiago,KPA
AYKI,small_airport,Kiunga Airport,-6.1257100105285645,141.28199768066406,88.0,OC,PG-WPD,Kiunga,UNG
AYKJ,small_airport,Kanainj Airport,-5.2903,144.7072,4064.0,OC,PG-MPM,Kanainj,KNE
AYKK,small_airport,Kikori Airport,-7.424379825592041,144.2500762939453,50.0,OC,PG-GPK,Kikori,KRI
AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10.0,OC,PG-GPK,Kerema,KMA
AYKR,small_airport,Kar Kar Airport,-4.5569999999999995,145.9404,130.0,OC,PG-MPM,Kar Kar Island,KRX
AYKU,small_airport,Kuri Airport,-7.135083,143.27611100000001,35.0,OC,PG-GPK,Kuri,KUQ
AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7.0,OC,PG-NIK,Kavieng,KVG
AYKY,small_airport,Londolovit Airport,-3.04361009598,152.628997803,167.0,OC,PG-NIK,Londolovit,LNV
AYLB,small_airport,Lab Lab Airport,-5.7204,148.0566,160.0,OC,PG-MPL,Lab Lab Mission,LAB
AYLO,small_airport,Lowai Airport,-6.3344,146.6458,2900.0,OC,PG-MPL,Lowai,LWI
AYLP,small_airport,Leron Plains Airport,-6.3917,146.3434,680.0,OC,PG-MPL,Leron Plains,LPN
AYLS,small_airport,Lese Airport,-8.2799,146.2765,40.0,OC,PG-GPK,Lese,LNG
AYLX,small_airport,Long Island Airport,-5.3604,147.0177,116.0,OC,PG-MPM,Long Island,LSJ
AYM,seaplane_base,Yas Island Seaplane Base,24.467,54.6103,0.0,AS,AE-AZ,Abu Dhabi,AYM
AYMA,small_airport,Manari Airport,-9.1908,147.6219,2630.0,OC,PG-NPP,Manari,MRM
AYMB,small_airport,Morobe Airport,-7.74,147.59,8.0,OC,PG-MPL,Morobe,OBM
AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG-MPM,Madang,MAG
AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388.0,OC,PG-WHM,Mount Hagen,HGU
AYML,small_airport,Mougulu Airport,-6.2808589999999995,142.420775,825.0,OC,PG-WPD,Mougulu,GUV
AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680.0,OC,PG-SHM,Mendi,MDU
AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12.0,OC,PG-MRL,Manus Island,MAS
AYMR,small_airport,Moro Airport,-6.36332988739,143.238006592,2740.0,OC,PG-SHM,Moro,MXH
AYMS,small_airport,Misima Island Airport,-10.6892004013,152.837997437,26.0,OC,PG-MBA,Misima Island,MIS
AYMW,small_airport,Marawaka Airport,-6.9736,145.8849,6050.0,OC,PG-EHG,Marawaka,MWG
AYNA,small_airport,Nankina Airport,-5.837000000000001,146.4533,5800.0,OC,PG-MPM,Gwarawon,NKN
AYNE,small_airport,Negarbo(Negabo) Airport,-6.567778,144.703058,4500.0,OC,PG-CPK,Negarbo,GBF
AYNG,small_airport,Manguna Airport,-5.5777779999999995,151.792333,187.0,OC,PG-EBR,Manguna,MFO
AYNM,small_airport,Kasonombe Airport,-6.3819,146.9859,5800.0,OC,PG-MPL,Kasonombe,KSB
AYNO,small_airport,Nomane Airport,-6.32183,145.070667,6032.0,OC,PG-CPK,Namane,NMN
AYNY,small_airport,Nambaiyufa Airport,-6.2412,145.2424,5550.0,OC,PG-CPK,Nambaiyufa,NBA
AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG-MPL,Lae,LAE
