airport_ref,airport_ident,length_ft,width_ft,lighted,closed
6523,00A,80.0,80.0,1,0
6524,00AK,2500.0,70.0,0,0
6525,00AL,2300.0,200.0,0,0
6526,00AR,40.0,40.0,0,0
322127,00AS,1450.0,60.0,0,0
6527,00AZ,1700.0,60.0,0,0
6528,00CA,6000.0,80.0,0,0
6529,00CO,3900.0,20.0,0,0
6531,00FA,3200.0,100.0,0,0
6532,00FD,74.0,74.0,0,0
6533,00FL,4090.0,100.0,0,0
6534,00GA,2600.0,80.0,0,0
6535,00GE,125.0,95.0,1,0
6536,00HI,1155.0,45.0,0,0
6537,00ID,3300.0,40.0,0,0
6537,00ID,2700.0,40.0,0,0
6539,00IL,2500.0,75.0,0,0
6540,00IN,40.0,40.0,1,0
6541,00IS,1600.0,70.0,0,0
6542,00KS,2600.0,85.0,0,0
6543,00KY,2100.0,100.0,0,0
45437,00LA,40.0,40.0,0,0
6544,00LL,25.0,25.0,0,0
6545,00LS,2600.0,100.0,0,0
6546,00MD,1700.0,75.0,0,0
6547,00MI,100.0,100.0,0,0
6548,00MN,2949.0,200.0,1,0
6549,00MO,2400.0,25.0,0,0
6551,00N,1900.0,150.0,1,0
6552,00NC,2650.0,36.0,0,0
6553,00NJ,50.0,50.0,0,0
6554,00NY,2350.0,80.0,1,0
6555,00OH,2695.0,90.0,0,0
6556,00OI,42.0,42.0,0,0
328503,00OK,2200.0,60.0,0,0
6558,00PA,80.0,80.0,0,0
45773,00PN,500.0,75.0,0,0
6559,00PS,3100.0,100.0,0,0
6560,00S,2600.0,90.0,0,0
6561,00SC,2900.0,100.0,0,0
330391,00SD,2400.0,50.0,0,0
6562,00TA,85.0,85.0,0,0
6563,00TE,48.0,48.0,0,0
6564,00TN,1800.0,150.0,0,0
6565,00TS,1200.0,45.0,0,0
6566,00TX,50.0,50.0,0,0
6568,00VA,1300.0,100.0,0,0
6569,00VI,1500.0,50.0,0,0
6570,00W,3400.0,50.0,0,0
6571,00WA,1105.0,70.0,0,0
6572,00WI,1000.0,60.0,0,0
6573,00WN,1440.0,50.0,0,0
6574,00WV,1800.0,100.0,0,0
6575,00XS,1475.0,75.0,0,0
6576,01A,1175.0,40.0,0,0
6577,01AK,40.0,40.0,1,0
6578,01AL,2500.0,160.0,1,0
6579,01AR,55.0,55.0,1,0
6580,01AZ,210.0,150.0,0,0
6581,01C,2517.0,120.0,1,0
6582,01CA,20.0,20.0,0,0
6583,01CL,3100.0,50.0,1,0
6584,01CN,60.0,60.0,0,0
6585,01CO,125.0,40.0,0,0
6586,01CT,70.0,70.0,0,0
6587,01FA,2000.0,100.0,0,0
6587,01FA,1500.0,100.0,0,0
6588,01FD,110.0,110.0,0,0
6589,01FL,3000.0,50.0,1,0
6590,01GA,65.0,65.0,0,0
6591,01GE,2560.0,75.0,0,0
6592,01IA,2575.0,50.0,1,0
6530,01ID,2894.0,100.0,0,0
6594,01IL,416.0,216.0,0,0
6595,01IN,45.0,45.0,0,0
6596,01IS,1300.0,100.0,0,0
6597,01J,3365.0,125.0,1,0
6598,01K,2460.0,110.0,1,0
6599,01KS,2400.0,100.0,0,0
6600,01KY,40.0,40.0,0,0
6601,01LA,2000.0,60.0,0,0
6602,01LL,1600.0,70.0,0,0
6603,01LS,1800.0,150.0,0,0
6604,01MA,32.0,32.0,0,0
6605,01MD,3500.0,100.0,0,0
6606,01ME,5000.0,500.0,0,0
6606,01ME,5000.0,500.0,0,0
6607,01MI,50.0,50.0,0,0
6608,01MN,10000.0,600.0,0,0
6608,01MN,10000.0,600.0,0,0
6609,01MO,37.0,37.0,0,0
6610,01MT,5000.0,70.0,0,0
6611,01NC,3200.0,75.0,1,0
6611,01NC,2000.0,75.0,0,0
6612,01NE,2750.0,50.0,0,0
6613,01NH,600.0,50.0,0,0
6614,01NJ,125.0,80.0,0,0
45537,01NM,2700.0,70.0,0,0
45537,01NM,2000.0,70.0,0,0
6615,01NV,2000.0,60.0,0,0
6616,01NY,100.0,75.0,0,0
347920,01OH,100.0,100.0,1,0
6617,01OI,30.0,30.0,0,0
6618,01OK,2640.0,25.0,1,0
345166,01OL,1600.0,75.0,0,0
6619,01OR,4800.0,60.0,0,0
6620,01PA,60.0,60.0,0,0
6621,01PN,1700.0,100.0,0,0
6622,01PS,1200.0,120.0,0,0
6623,01SC,2580.0,118.0,1,0
6624,01TA,30.0,30.0,0,0
6625,01TE,2433.0,55.0,0,0
6626,01TN,2700.0,100.0,0,0
6628,01TX,500.0,60.0,0,0
6628,01TX,700.0,60.0,0,0
6629,01U,2700.0,75.0,0,0
6629,01U,3400.0,80.0,0,0
6630,01UT,3200.0,40.0,0,0
6631,01VA,1500.0,60.0,0,0
6632,01WA,36.0,36.0,0,0
6633,01WI,2300.0,120.0,0,0
6634,01WN,40.0,40.0,1,0
45900,01WT,28.0,28.0,0,0
6635,01WY,4360.0,75.0,0,0
6635,01WY,2600.0,65.0,0,0
46288,01XA,50.0,50.0,1,0
6636,01XS,50.0,50.0,0,0
6637,02AK,2200.0,45.0,0,0
6638,02AL,2000.0,150.0,0,0
43030,02AR,4400.0,45.0,0,0
6640,02AZ,4500.0,80.0,0,0
6641,02CA,55.0,55.0,0,0
6642,02CD,2500.0,100.0,0,0
6643,02CL,3000.0,60.0,0,0
6644,02CO,2670.0,50.0,0,0
6645,02CT,50.0,50.0,0,0
6646,02FA,2485.0,150.0,0,0
341544,02FD,3443.0,150.0,0,0
45347,02FL,1800.0,100.0,0,0
6648,02GA,1200.0,100.0,0,0
6648,02GA,1500.0,100.0,0,0
6649,02GE,3400.0,100.0,0,0
6650,02HI,100.0,100.0,0,0
6651,02IA,50.0,50.0,0,0
6652,02ID,2000.0,100.0,0,0
6653,02II,1100.0,100.0,0,0
6654,02IN,1020.0,150.0,0,0
6655,02IS,40.0,40.0,0,0
6656,02KS,1650.0,100.0,0,0
6656,02KS,1950.0,150.0,0,0
6657,02KY,100.0,100.0,0,0
6658,02LA,20.0,20.0,0,0
6659,02LS,24.0,24.0,0,0
6660,02MA,50.0,50.0,0,0
6661,02ME,2400.0,60.0,0,0
6662,02MI,2000.0,100.0,0,0
6663,02MN,1897.0,192.0,0,0
6663,02MN,2500.0,192.0,0,0
6663,02MN,2553.0,82.0,0,0
6664,02MO,2200.0,50.0,0,0
6665,02MS,2150.0,60.0,0,0
6667,02MU,1900.0,125.0,0,0
45686,02NC,100.0,100.0,0,0
6669,02NH,3000.0,300.0,0,0
6669,02NH,20.0,20.0,0,0
6671,02NV,2200.0,50.0,0,0
6672,02NY,25.0,25.0,0,0
6673,02OH,2750.0,50.0,0,0
6674,02OI,1500.0,75.0,0,0
6676,02OR,2000.0,30.0,0,0
6677,02P,100.0,100.0,1,0
6678,02PA,60.0,50.0,0,0
6679,02PN,40.0,40.0,0,0
6680,02PR,2000.0,50.0,0,0
6681,02PS,500.0,100.0,0,0
6682,02SC,3600.0,150.0,0,0
6683,02T,4050.0,60.0,0,0
6684,02TA,32.0,32.0,0,0
6685,02TE,40.0,40.0,1,0
6686,02TN,1600.0,120.0,0,0
6688,02TX,4800.0,80.0,0,0
6689,02UT,4000.0,30.0,0,0
6689,02UT,4000.0,50.0,0,0
6690,02VA,3000.0,80.0,0,0
6692,02WA,2650.0,50.0,0,0
6693,02WI,2200.0,60.0,0,0
6694,02WN,1500.0,30.0,0,0
330393,02XA,1950.0,50.0,0,0
6695,02XS,1500.0,40.0,0,0
6695,02XS,1320.0,40.0,0,0
6696,03AK,1000.0,70.0,0,0
6696,03AK,6000.0,500.0,0,0
6696,03AK,2600.0,500.0,0,0
6697,03AL,50.0,50.0,1,0
6698,03AR,117.0,117.0,1,0
6699,03AZ,3600.0,60.0,1,0
6700,03CA,40.0,40.0,1,0
6701,03CO,4000.0,30.0,0,0
6702,03FA,2000.0,200.0,0,0
6703,03FD,2000.0,50.0,0,0
6704,03FL,50.0,40.0,0,0
322717,03GA,1990.0,65.0,0,0
322717,03GA,1955.0,60.0,0,0
6705,03I,2375.0,90.0,0,0
6706,03IA,2000.0,150.0,0,0
